conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,keyword_file,layer,app_detected,has_aksesibilitas
1691295595506663424,2023-08-22T04:42:33.000Z,0,"@promo_BRI Tolong tunjukkan undang-undangnya bahwa tunanetra nggak boleh punya ATM biar kami paham.
Karena hal tersebut sering kami dapatkan dari BRI yang secara adalah bank milik negara.",1693846091530428479,,promo_BRI,in,,0,2,0,https://x.com/RobinnapituS/status/1693846091530428479,1184585838878814208,RobinnapituS,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
1678231012097282049,2023-07-10T02:33:47.000Z,0,"Ternyata Kantor BRI pindah alamat, ung saya sudah install Apk yang membantu Tunanetra membaca papan pengumuman Bank BRI pindah alamat
#tunanetra #tunanetraindonesia #tunanetraberkarya #karyatunanetra #startup #artificialintelligence #ai #kecerdasanbuatan #kecerdasanbuatanai https://t.co/1oLEI5bHvT",1678231012097282049,https://pbs.twimg.com/ext_tw_video_thumb/1678230368422596608/pu/img/dRHFX6E7kS03ppB-.jpg,,in,,0,0,0,https://x.com/reinacell9/status/1678231012097282049,1632201965479534592,reinacell9,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
1216733518686040064,2020-01-13T14:47:31.000Z,0,"@bankbri_id @msy4rif @syariahmandiri@ojkindonesia saya masih heran dengan penolakan Bank BRI kepada disabilitas tunanetra di Kota Tasikmalaya yang terjadi tadi siang, juga yang dilakukan oleh bank Niaga kepada orang… https://t.co/k5C5TnTRlS",1216733518686040064,,BANKBRI_ID,in,,0,2,0,https://x.com/jejen_juanda/status/1216733518686040064,898394642,jejen_juanda,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,"BRI, Mandiri",True
1216607591884718080,2020-01-13T06:27:08.000Z,0,"ini sangat janggal! ketika seorang tunanetra di tasikmalaya, atas nama aris hidayat ditolak untuk membuat rekening dan ATM di bank niaga dan bank BRI.",1216607591884718080,,,in,,0,2,0,https://x.com/jejen_juanda/status/1216607591884718080,898394642,jejen_juanda,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
418349321122099201,2014-01-01T11:53:45.000Z,1,BRI Diskriminatif terhadap Nasabah Tunanetra? Beberapa orang tunanetra telah melapor bahwa mereka ditolak untuk membuat kartu ATM BRI.,418349321122099201,,,in,,0,0,0,https://x.com/dtarsidi/status/418349321122099201,65330390,dtarsidi,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
390668604032950272,2013-10-17T02:40:28.000Z,0,"BRI Tolak Tunanetra Miliki Kartu ATM

Sumber: http://t.co/wtvGb8g3X7

Kamis, 17... http://t.co/1Fa0hcLCKk",390668604032950272,,,in,,0,0,0,https://x.com/Mitra_Netra/status/390668604032950272,264046938,Mitra_Netra,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
141326439952809984,2011-11-29T01:23:43.000Z,0,BRI Tulungagung Tolak Kredit Nasabah Tunanetra: TULUNGAGUNG I SURYA Online - Kantor Bank Rakyat Indonesia (BRI) ... http://t.co/8gM3dIrc,141326439952809984,,,in,,0,0,0,https://x.com/creativ_ndy/status/141326439952809984,132476560,creativ_ndy,tunanetra BRI,aksesibilitas_bri_tunanetra,Aksesibilitas,BRI,True
1997147330764742720,2025-12-06T03:53:44.000Z,0,"@HaloBCA Saya dan kawan2 tunanetra nasabah @BankBCA cuma minta aplikasi Bca mobile dikembalikan layaknya versi terdahulu.
Fitur dibanyakin silahkan yg penting suport dg pembaca layar seperti talkback dll.",1997152451544469680,,HaloBCA,in,,0,1,0,https://x.com/HendriPM99/status/1997152451544469680,828182384,HendriPM99,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1997147330764742720,2025-12-06T03:33:25.000Z,0,"Dg instruksi untuk mematikan fitur accessibilitas sdh jelas2 @BankBCA  tdk memperbolehkan kami para tunanetra menggunakan BCA mobile.
Ini bentuk diskriminasi.",1997147338683597190,,HendriPM99,in,,0,0,0,https://x.com/HendriPM99/status/1997147338683597190,828182384,HendriPM99,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1997147330764742720,2025-12-06T03:33:23.000Z,1,"Sebelumnya saya dan kawan2 sesama tunanetra bisa mengakses aplikasi BCA mobile secara mandiri.
Lama kelamaan stlh di update berkali2 kami mengalami kesulitan krna mulai gk suport dg software pembaca layar terutama saat menginput Pin traksasi. https://t.co/lQupZ6jvLO",1997147330764742720,https://pbs.twimg.com/media/G7dK6aHb0AA4XCb.jpg,,in,,0,3,0,https://x.com/HendriPM99/status/1997147330764742720,828182384,HendriPM99,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Mandiri",True
